  CODE BEGUN..........................

  Simulation Parameters are nx, ny, dx, dy, w, errormax,tmax, dt, Re 
         130         130   7.69230770E-03   7.69230770E-03   1.79999995       9.99999997E-07   5.00000000       1.00000005E-03   100.000000    

 Initialising the domain ..........................

 Initiating Calculations ..........................

 time,  Error_x-AD,  Error_y-AD,  Error_PPE
  0.106000036       8.64267349E-07   2.08616257E-07   9.92789865E-07
  0.107000038       8.64267349E-07   1.49011612E-07   9.97446477E-07
  0.108000040       8.64267349E-07   1.78813934E-07   9.98377800E-07
  0.109000042       8.71717930E-07   1.49011612E-07   9.96515155E-07
  0.110000044       8.64267349E-07   1.78813934E-07   9.98377800E-07
  0.111000046       8.56816769E-07   2.08616257E-07   9.98377800E-07
  0.112000048       8.56816769E-07   1.78813934E-07   9.90927219E-07
  0.113000050       8.64267349E-07   1.19209290E-07   9.90927219E-07
  0.114000052       8.64267349E-07   2.08616257E-07   9.90927219E-07
  0.115000054       8.64267349E-07   1.78813934E-07   9.89064574E-07
  0.116000056       8.53091478E-07   2.08616257E-07   9.97184543E-07
  0.117000058       8.56816769E-07   1.49011612E-07   9.98261385E-07
  0.118000060       8.53091478E-07   2.08616257E-07   9.94972652E-07
  0.119000062       8.64267349E-07   1.49011612E-07   9.98072210E-07
  0.120000064       8.64267349E-07   2.08616257E-07   9.94943548E-07
  0.121000066       8.56816769E-07   1.49011612E-07   9.99309123E-07
  0.122000068       8.64267349E-07   1.78813934E-07   9.97737516E-07
  0.123000070       8.56816769E-07   1.78813934E-07   9.94252332E-07
  0.124000072       8.64267349E-07   1.49011612E-07   9.98792530E-07
  0.125000075       8.56816769E-07   2.08616257E-07   9.98086762E-07
  0.126000077       8.64267349E-07   1.49011612E-07   9.95576556E-07
  0.127000079       8.56816769E-07   1.49011612E-07   9.97024472E-07
  0.128000081       8.64267349E-07   1.78813934E-07   9.98072210E-07
  0.129000083       8.60542059E-07   1.78813934E-07   9.94728907E-07
  0.130000085       8.71717930E-07   1.78813934E-07   9.98610631E-07
  0.131000087       8.60542059E-07   1.78813934E-07   9.96165909E-07
