 title = "post processing tecplot"
 variables = "x", "y", "dxi", "dyi"
 zone t="big zone", i=         182 , j=         130 , datapacking=point
   6.587314     -0.1473624      0.1198330      0.2947247    
   6.709318     -0.1473624      0.1241760      0.2947247    
   6.835658     -0.1473624      0.1285028      0.2947247    
   6.966310     -0.1473624      0.1328020      0.2947247    
   7.101236     -0.1473624      0.1370511      0.2947247    
   7.240376     -0.1473624      0.1412287      0.2947247    
   7.383649     -0.1473624      0.1453171      0.2947247    
   7.530955     -0.1473624      0.1492953      0.2947247    
   7.682171     -0.1473624      0.1531358      0.2947247    
   7.837151     -0.1473624      0.1568241      0.2947247    
   7.995728     -0.1473624      0.1603293      0.2947247    
   8.157711     -0.1473624      0.1636381      0.2947247    
   8.322892     -0.1473624      0.1667233      0.2947247    
   8.491038     -0.1473624      0.1695690      0.2947247    
   8.661898     -0.1473624      0.1721487      0.2947247    
   8.835197     -0.1473624      0.1744528      0.2947247    
   9.010653     -0.1473624      0.1764584      0.2947247    
   9.187960     -0.1473624      0.1781540      0.2947247    
   9.366800     -0.1473624      0.1795273      0.2947247    
   9.546846     -0.1473624      0.1805639      0.2947247    
   9.727758     -0.1473624      0.1812620      0.2947247    
   9.909195     -0.1473624      0.1816101      0.2947247    
   10.09081     -0.1473624      0.1816101      0.2947247    
 -0.2742726      0.1473624      0.5485451      0.2947247    
  0.2742726      0.1473624      0.5485451      0.2947247    
  0.7853960      0.1473624      0.4737018      0.2947247    
   1.202225      0.1473624      0.3599571      0.2947247    
   1.506119      0.1473624      0.2478290      0.2947247    
   1.709665      0.1473624      0.1592630      0.2947247    
   1.838225      0.1473624      9.7856998E-02  0.2947247    
   1.916393      0.1473624      5.8478951E-02  0.2947247    
   1.962816      0.1473624      3.4368038E-02  0.2947247    
   1.990000      0.1473624      1.9999981E-02  0.2947247    
   2.010870      0.1473624      2.1739006E-02  0.2947247    
   2.032609      0.1473624      2.1739006E-02  0.2947247    
   2.054348      0.1473624      2.1739006E-02  0.2947247    
   2.076087      0.1473624      2.1739960E-02  0.2947247    
   2.097826      0.1473624      2.1739006E-02  0.2947247    
   2.119565      0.1473624      2.1739006E-02  0.2947247    
   2.141304      0.1473624      2.1739006E-02  0.2947247    
   2.163043      0.1473624      2.1739006E-02  0.2947247    
   2.184783      0.1473624      2.1739006E-02  0.2947247    
   2.206522      0.1473624      2.1739006E-02  0.2947247    
   2.228261      0.1473624      2.1739006E-02  0.2947247    
   2.250000      0.1473624      2.1739960E-02  0.2947247    
   2.271739      0.1473624      2.1739006E-02  0.2947247    
   2.293478      0.1473624      2.1739006E-02  0.2947247    
   2.315217      0.1473624      2.1739006E-02  0.2947247    
   2.336957      0.1473624      2.1739006E-02  0.2947247    
   2.358696      0.1473624      2.1739006E-02  0.2947247    
   2.380435      0.1473624      2.1739006E-02  0.2947247    
   2.402174      0.1473624      2.1739006E-02  0.2947247    
