           1   4.000000       2.500000             102          62
 
 Time  U   V  P
   101.3692     -6.2366433E-02 -0.3938515       3.412841    
   101.3742     -6.2532574E-02 -0.3965955       3.413884    
   101.3792     -6.2717579E-02 -0.3993288       3.414914    
   101.3842     -6.2921479E-02 -0.4020511       3.415934    
   101.3892     -6.3144185E-02 -0.4047622       3.416949    
   101.3942     -6.3385740E-02 -0.4074619       3.417958    
   101.3992     -6.3646086E-02 -0.4101498       3.418966    
   101.4042     -6.3925393E-02 -0.4128267       3.419915    
   101.4092     -6.4223625E-02 -0.4154911       3.420943    
   101.4142     -6.4540923E-02 -0.4181433       3.421944    
   101.4192     -6.4877458E-02 -0.4207842       3.422901    
   101.4242     -6.5233409E-02 -0.4234132       3.423892    
   101.4292     -6.5608971E-02 -0.4260287       3.424981    
   101.4342     -6.6004090E-02 -0.4286317       3.425989    
   101.4392     -6.6418983E-02 -0.4312214       3.427071    
   101.4442     -6.6853598E-02 -0.4337987       3.428115    
   101.4492     -6.7307994E-02 -0.4363628       3.429209    
   101.4542     -6.7782365E-02 -0.4389133       3.430350    
   101.4592     -6.8276703E-02 -0.4414487       3.431575    
   101.4642     -6.8790764E-02 -0.4439704       3.432710    
   101.4692     -6.9324650E-02 -0.4464775       3.433942    
   101.4742     -6.9878288E-02 -0.4489684       3.435261    
   101.4792     -7.0451476E-02 -0.4514418       3.436648    
   101.4842     -7.1044020E-02 -0.4538982       3.437998    
   101.4892     -7.1655564E-02 -0.4563385       3.439320    
   101.4942     -7.2286084E-02 -0.4587620       3.440716    
   101.4992     -7.2935663E-02 -0.4611692       3.442091    
   101.5042     -7.3604718E-02 -0.4635595       3.443556    
   101.5092     -7.4293427E-02 -0.4659334       3.445009    
   101.5142     -7.5001910E-02 -0.4682897       3.446565    
   101.5192     -7.5730354E-02 -0.4706291       3.448109    
   101.5242     -7.6478817E-02 -0.4729505       3.449757    
   101.5292     -7.7247038E-02 -0.4752536       3.451441    
   101.5342     -7.8034714E-02 -0.4775391       3.453096    
   101.5392     -7.8841761E-02 -0.4798059       3.454847    
   101.5442     -7.9668030E-02 -0.4820539       3.456623    
   101.5491     -8.0513023E-02 -0.4842838       3.458359    
   101.5541     -8.1376821E-02 -0.4864948       3.460187    
   101.5591     -8.2259081E-02 -0.4886866       3.462034    
